TargetGene	Cell	log2FC.D14	RRA.padj.
POLD1	HEK293FT	-0.271297672870984	0.0588728239347429
NDUFV1	HEK293FT	-0.205925045545139	0.05906494957824
LIN7C	HEK293FT	-0.167424062649291	0.0594613753083621
PARP1	HEK293FT	-0.169464844430428	0.0598206706103073
PRPF39	HEK293FT	-0.245518536143653	0.0598892438353363
PSMB3	HEK293FT	-0.177178917293081	0.0605448471143336
ESD	HEK293FT	-0.142618210125448	0.0609097443662012
MED12	HEK293FT	-0.245094457850871	0.0609712475873553
BAZ2A	HEK293FT	-0.170304520542993	0.0610155006684868
PPRC1	HEK293FT	-0.227088664009054	0.0613669878983098
WDR1	HEK293FT	-0.256713293740408	0.0617520449974777
NHLRC2	HEK293FT	-0.172994945534526	0.0619112773934137
ECHS1	HEK293FT	-0.130024254128647	0.0629240685806526
OAS1	HEK293FT	-0.181980679147525	0.0634105539062409
PCYT1A	HEK293FT	-0.160039123338247	0.0634105539062409
SLC20A1	HEK293FT	-0.277228362097989	0.0634105539062409
DEPDC1	HEK293FT	-0.206565181873653	0.0643123467880742
CENPA	HEK293FT	-0.228796401668843	0.0643902925878743
POGZ	HEK293FT	-0.185558452777525	0.0649952333810847
ACACA	HEK293FT	-0.144131706485633	0.0655501995678315
HSPE1	HEK293FT	-0.455412445400032	0.0655501995678315
FBXW11	HEK293FT	-0.20351886764459	0.0657177854723469
RBM14	HEK293FT	-0.286752066392846	0.0658222445340018
ATP6V1A	HEK293FT	-0.226912802165712	0.065830800670317
MASTL	HEK293FT	-0.2479612770413	0.0659990525612387
WDR5	HEK293FT	-0.491737135912804	0.0661268677848997
RPP25	HEK293FT	-0.119713199933857	0.0663367005868998
ZNF326	HEK293FT	-0.209589703638736	0.067630762512224
ZNF384	HEK293FT	-0.151631325411303	0.067630762512224
CENPJ	HEK293FT	-0.258723682321714	0.0686172576025881
SLC7A5	HEK293FT	-0.159987326575681	0.0686172576025881
CNN2	HEK293FT	-0.142960189130561	0.0694892397816035
EFTUD1	HEK293FT	-0.253634733474194	0.0696078206265308
ELOVL5	HEK293FT	-0.184828281411216	0.0696078206265308
MRPS11	HEK293FT	-0.172658414405587	0.0697266962434929
SYVN1	HEK293FT	-0.110985272313342	0.0697266962434929
BOLA3	HEK293FT	-0.16086873589357	0.0700240109852588
MRPL45	HEK293FT	-0.330099347238794	0.0700240109852588
ZCCHC8	HEK293FT	-0.227112559820434	0.0700240109852588
NUFIP1	HEK293FT	-0.15543631606392	0.0702004608536029
C17orf58	HEK293FT	-0.111863635768034	0.0706146728227481
TUBGCP3	HEK293FT	-0.430409247076769	0.0722751328401223
NELFE	HEK293FT	-0.111700629958583	0.0736294946134623
MYH10	HEK293FT	-0.14168735642469	0.0738146812951377
FAM98B	HEK293FT	-0.215575103867874	0.0739981004859217
SNRPG	HEK293FT	-0.284829152019207	0.0741620559043705
PDZD8	HEK293FT	-0.199983721317602	0.0750474910044348
ZNF764	HEK293FT	-0.138488870778324	0.0750570410386511
CDC73	HEK293FT	-0.279096807971768	0.0750581192100165
EXOSC8	HEK293FT	-0.370452754657513	0.0755462432281247
SAP18	HEK293FT	-0.192215864446798	0.0768815038689359
H1F0	HEK293FT	-0.138360658585883	0.0770797062681069
FIS1	HEK293FT	-0.217685009268152	0.0772723305019567
RBM8A	HEK293FT	-0.201440884715862	0.078048421549305
KTI12	HEK293FT	-0.12593778269739	0.0781740078768616
WDR24	HEK293FT	-0.121887963270861	0.0786282182184525
ELL	HEK293FT	-0.215027824514793	0.0801652389857426
DACH1	HEK293FT	-0.13606943063946	0.0805982789604115
COPS6	HEK293FT	-0.288060339924468	0.0806579670729496
HIST1H2AM	HEK293FT	-0.368713217058126	0.0822209995726059
H2AFV	HEK293FT	-0.136836193672688	0.0825439230920497
BNIP1	HEK293FT	-0.234052844420726	0.0826682441416192
CHTF18	HEK293FT	-0.308763861794259	0.0827988022171064
PPP1CA	HEK293FT	-0.151437911452251	0.0842537984283618
ZEB1	HEK293FT	-0.208228867670058	0.0843935289461385
ZNF639	HEK293FT	-0.186080085275553	0.0843935289461385
RNPC3	HEK293FT	-0.135622572358212	0.0845825249105842
ZZZ3	HEK293FT	-0.144531571001631	0.0850876874562117
DHPS	HEK293FT	-0.386131686599836	0.0851848357725763
JUNB	HEK293FT	-0.0867213091822682	0.0855073701336704
MRPL1	HEK293FT	-0.152830578652785	0.0857178989588257
SERGEF	HEK293FT	-0.122594993713944	0.0867033425683524
SLBP	HEK293FT	-0.230777183863285	0.0867033425683524
TTC17	HEK293FT	-0.154359940276358	0.0877686958765383
INTS12	HEK293FT	-0.204825523754394	0.0882702701690457
ATRX	HEK293FT	-0.191410348470412	0.0889261352062494
NDUFB8	HEK293FT	-0.126650457561157	0.0895707247251371
MED10	HEK293FT	-0.178496090366918	0.0901429775485628
ALX4	HEK293FT	-0.153024905259957	0.0908875859863196
TUBG1	HEK293FT	-0.113770701802028	0.0914043941668218
IPO9	HEK293FT	-0.196645228861906	0.091923719196835
FXR1	HEK293FT	-0.274328691177601	0.0920343959332534
WDR74	HEK293FT	-0.182089757922704	0.0923720851366293
ZNF124	HEK293FT	-0.0928068875335255	0.0925969944979076
NOP16	HEK293FT	-0.225544956787972	0.0930959589065295
PDSS1	HEK293FT	-0.118278655942191	0.0936497925320851
UTP23	HEK293FT	-0.1409747073283	0.0938773807125646
CSDE1	HEK293FT	-0.339295130391227	0.0944733058529346
SYNCRIP	HEK293FT	-0.428195161802627	0.0944733058529346
TIMMDC1	HEK293FT	-0.10567808097627	0.0944883959934582
TOP3B	HEK293FT	-0.147023196292731	0.0944883959934582
RAPGEF2	HEK293FT	-0.108466185067457	0.0950226933479146
ANAPC13	HEK293FT	-0.186617753732527	0.0963637559955358
CHD2	HEK293FT	-0.251097220610333	0.0963637559955358
DBF4	HEK293FT	-0.267396917447444	0.0963637559955358
GPN2	HEK293FT	-0.20292458926565	0.0963637559955358
MRPS30	HEK293FT	-0.230630568093317	0.0963637559955358
RNF167	HEK293FT	-0.136283144003176	0.0963637559955358
SOD1	HEK293FT	-0.235689488616492	0.0963637559955358
MRPS31	HEK293FT	-0.112666805927473	0.0968809662586468
CDCA3	HEK293FT	-0.144370128460807	0.097115499615449
TBC1D9B	HEK293FT	-0.12452863543234	0.0976624940169047
DHX30	HEK293FT	-0.239959447498307	0.0981898885342474
BRD8	HEK293FT	-0.30248941455266	0.0984494345213053
PSMA1	HEK293FT	-0.165018391201973	0.0994479912857207
HIST1H3I	HEK293FT	-0.120984932262457	0.0998769645625367
PSMG1	HEK293FT	-0.213939383553008	0.100757696331427
LONP1	HEK293FT	-0.320374043273887	0.101572394481013
GUF1	HEK293FT	-0.100115542940291	0.101889456255075
E2F6	HEK293FT	-0.093979157218175	0.102785389616058
RPS25	HEK293FT	-0.31304439229305	0.103032095276546
HIST1H2AC	HEK293FT	-0.220981072792566	0.103936630010457
C11orf57	HEK293FT	-0.0973166674224177	0.104185700404128
TOMM40	HEK293FT	-0.332129787200521	0.104213274348649
E2F8	HEK293FT	-0.167262148938317	0.10467479962065
MRPL12	HEK293FT	-0.184881320890272	0.10467479962065
BRAP	HEK293FT	-0.153973086956584	0.105187278150528
SLMO2	HEK293FT	-0.128948149036417	0.105439001372487
BMP2	HEK293FT	-0.138804426443738	0.106025922316649
FERMT2	HEK293FT	-0.138729908472136	0.106279381043955
CFLAR	HEK293FT	-0.277847286622984	0.108355911393653
NOL8	HEK293FT	-0.320031192218253	0.108485277702116
MIB1	HEK293FT	-0.197644223819201	0.109775484628781
ZNF585B	HEK293FT	-0.106364803530451	0.112482171500565
AKAP11	HEK293FT	-0.133501945371911	0.114170162111584
RPP40	HEK293FT	-0.31977964916345	0.115286803763094
MED19	HEK293FT	-0.158761616717315	0.115374634463575
COX11	HEK293FT	-0.144207206824553	0.116426973419398
PSPC1	HEK293FT	-0.0897213673451717	0.116701314938294
COG2	HEK293FT	-0.151236544496768	0.11734156570407
RIOK3	HEK293FT	-0.124310330089565	0.117894553426735
SETD5	HEK293FT	-0.296472335044061	0.117894553426735
PLK4	HEK293FT	-0.268232079030218	0.118208435827281
MPHOSPH8	HEK293FT	-0.220090022813793	0.118449849766514
TXNRD1	HEK293FT	-0.275472092691543	0.120092666710984
CHMP4B	HEK293FT	-0.169877007245172	0.120940577364016
CRLS1	HEK293FT	-0.318323935375877	0.121612460147334
HOXB9	HEK293FT	-0.124740091746717	0.122193606880767
SMG8	HEK293FT	-0.1534831249522	0.122386446374479
ZNF586	HEK293FT	-0.0968535896180543	0.122386446374479
AGO2	HEK293FT	-0.150908945723081	0.122486722306525
RPS15A	HEK293FT	-0.38368024876895	0.122486722306525
WTAP	HEK293FT	-0.128271463690715	0.122486722306525
TRMT1L	HEK293FT	-0.139180460421594	0.123918403144178
SURF6	HEK293FT	-0.110769384674092	0.124113931417049
WBSCR16	HEK293FT	-0.191302053238847	0.124113931417049
DHX29	HEK293FT	-0.142594558290984	0.124788864127748
CEP55	HEK293FT	-0.159115435791526	0.12598379024911
ZNF622	HEK293FT	-0.110226937075766	0.126928367407173
MTO1	HEK293FT	-0.201467828189525	0.127165210101746
HEXIM1	HEK293FT	-0.20102332703743	0.127816960942951
SLC4A7	HEK293FT	-0.113953108797949	0.127816960942951
ITGAV	HEK293FT	-0.162230319603106	0.128904903148857
SPPL2A	HEK293FT	-0.137656759929643	0.129204469746954
DHX16	HEK293FT	-0.346748371051708	0.129353344098926
MED1	HEK293FT	-0.218562165039819	0.129353344098926
ORC5	HEK293FT	-0.150599019207937	0.130106873355581
STAMBP	HEK293FT	-0.142728390193264	0.130809631190225
ERAL1	HEK293FT	-0.177631184814048	0.131291826925602
HAND2	HEK293FT	-0.138580449274844	0.131721810248269
RBM15	HEK293FT	-0.226628998800027	0.131721810248269
ADSS	HEK293FT	-0.108085277276253	0.134062572271553
RINT1	HEK293FT	-0.302991213228397	0.135310846696278
DONSON	HEK293FT	-0.335458932206941	0.135777992949998
GATAD2B	HEK293FT	-0.128950138574229	0.136228412938212
QARS	HEK293FT	-0.147527193324225	0.136228412938212
WRAP53	HEK293FT	-0.106160724581957	0.136448040714508
NONO	HEK293FT	-0.343808689739902	0.136684090223193
ALKBH5	HEK293FT	-0.271807557437531	0.136982457513803
DNAJA3	HEK293FT	-0.357179252048216	0.13735172144841
TRIM37	HEK293FT	-0.128178245821558	0.13735172144841
CDC25A	HEK293FT	-0.271054726520966	0.137531143099617
CYC1	HEK293FT	-0.216202271394332	0.13790961997491
TCERG1	HEK293FT	-0.216250418029934	0.138195024543156
MSTO1	HEK293FT	-0.0720442312742143	0.138561376897959
PATL1	HEK293FT	-0.128348425536618	0.140900820095369
ZFAT	HEK293FT	-0.204590224883652	0.140900820095369
NUP62	HEK293FT	-0.236105561912174	0.141175765474478
ZNF318	HEK293FT	-0.121786176550173	0.141175765474478
NDUFB10	HEK293FT	-0.151409788107404	0.141444153431721
SDHD	HEK293FT	-0.230156811954554	0.141541481156823
SIX1	HEK293FT	-0.140191143796404	0.142525256969546
TTK	HEK293FT	-0.428963445528486	0.142852126353841
NDUFB7	HEK293FT	-0.208909121986497	0.143613454319729
DIDO1	HEK293FT	-0.123135732766134	0.143898651072136
RAD51C	HEK293FT	-0.154008210624033	0.143898651072136
CSTF2	HEK293FT	-0.1260650376768	0.145039980577982
ARF6	HEK293FT	-0.0967557084282786	0.145811285956399
MOB1B	HEK293FT	-0.100571335922921	0.146037597824007
MRPS15	HEK293FT	-0.147406910609	0.146037597824007
EIF4B	HEK293FT	-0.286852866839846	0.146813442782814
CLIC1	HEK293FT	-0.100561422056598	0.147148846801204
BRD7	HEK293FT	-0.108901889362153	0.147484928612297
RPS6KB1	HEK293FT	-0.137728811464698	0.147821689371232
ELP4	HEK293FT	-0.14772001784198	0.147893627731801
NCAPG2	HEK293FT	-0.16417619230285	0.147893627731801
TCF7L2	HEK293FT	-0.100724914872271	0.147943154826243
PI4KA	HEK293FT	-0.274253194029883	0.14917554504421
ATF3	HEK293FT	-0.194446132482322	0.149515717925491
ABCE1	HEK293FT	-0.384156666601571	0.150312504161878
CCND1	HEK293FT	-0.128245989114486	0.150992854160094
ZHX1	HEK293FT	-0.0958664201774322	0.150992854160094
LGR4	HEK293FT	-0.157677699880084	0.151336638123303
DLX2	HEK293FT	-0.120912094372203	0.151571200251322
MRPS21	HEK293FT	-0.0767476710563398	0.151571200251322
TTI1	HEK293FT	-0.0719612009657075	0.15180627417827
ZNF706	HEK293FT	-0.102291137709686	0.15180627417827
ZBTB11	HEK293FT	-0.0589277195060755	0.152151796630991
CTDNEP1	HEK293FT	-0.157135365363974	0.152844927812774
GPATCH4	HEK293FT	-0.120752076991918	0.152844927812774
FNBP4	HEK293FT	-0.185730801157364	0.154493571699797
NOP10	HEK293FT	-0.121545901459098	0.154924349947108
POLA2	HEK293FT	-0.272776649414799	0.155081572588825
DR1	HEK293FT	-0.160115861852192	0.156560226247678
VBP1	HEK293FT	-0.1926744142415	0.156747770701733
MRPS7	HEK293FT	-0.134842238085769	0.157740108826561
ZNF259	HEK293FT	-0.116608066770209	0.158097229401681
NDUFA1	HEK293FT	-0.127550253992335	0.159876442325785
MIF	HEK293FT	-0.12842669037239	0.161624489773765
FAU	HEK293FT	-0.457218114464269	0.163441028577113
ZCCHC7	HEK293FT	-0.160401444727855	0.163585445519523
SP3	HEK293FT	-0.162685897521319	0.164573040342446
GTF2E2	HEK293FT	-0.184355308837884	0.165009586892823
NDUFA6	HEK293FT	-0.207393421303411	0.166435113991518
TMEM258	HEK293FT	-0.167394600340261	0.166443574366708
DIMT1	HEK293FT	-0.355517362543427	0.166483806262171
LSM6	HEK293FT	-0.276556883040616	0.167028221405467
OSTC	HEK293FT	-0.118280127799503	0.167767793748311
CERS2	HEK293FT	-0.0983770498985457	0.169667060167884
DPM2	HEK293FT	-0.12456944838171	0.169667060167884
URB2	HEK293FT	-0.170651423708202	0.169667060167884
COPS8	HEK293FT	-0.182299013689935	0.170443334978092
LLPH	HEK293FT	-0.0945227757866321	0.170830412954487
RTCA	HEK293FT	-0.177088114460835	0.17324049393336
NR2C1	HEK293FT	-0.114399184934782	0.174651046477379
DCAF13	HEK293FT	-0.277607926836144	0.174675346966344
RANBP6	HEK293FT	-0.135608998185725	0.174675346966344
DUSP12	HEK293FT	-0.299943446939675	0.17530692224958
MRPS18A	HEK293FT	-0.114597369690134	0.175697902413455
HGS	HEK293FT	-0.211288384227989	0.175965295965763
ZNF562	HEK293FT	-0.117884435356869	0.175965295965763
ATR	HEK293FT	-0.271516637196707	0.179358112591505
ZBTB2	HEK293FT	-0.194984630441135	0.179358112591505
DDX51	HEK293FT	-0.210991419407385	0.180156349898877
PARL	HEK293FT	-0.106383485407862	0.180156349898877
TEX10	HEK293FT	-0.404316972874916	0.180421491039479
VAMP3	HEK293FT	-0.139875694270073	0.180429670916461
CLCC1	HEK293FT	-0.109904881496909	0.181359592826758
PNN	HEK293FT	-0.24412651750363	0.182624528734809
C16orf72	HEK293FT	-0.132892860668526	0.183766847898803
NSMCE1	HEK293FT	-0.12798498113024	0.183920752542837
SEC62	HEK293FT	-0.162177634750857	0.183920752542837
TICRR	HEK293FT	-0.257487810448017	0.183920752542837
PPP6C	HEK293FT	-0.147081190941396	0.185613385204781
TAF10	HEK293FT	-0.243161393775989	0.185680996894607
VPS54	HEK293FT	-0.166871521820204	0.185680996894607
ZNFX1	HEK293FT	-0.175148065590806	0.186092001442708
ALG13	HEK293FT	-0.0854721141170914	0.186503809405103
GMEB2	HEK293FT	-0.103916615091423	0.186916422106102
SPC24	HEK293FT	-0.207404919722238	0.187775173238546
YTHDC2	HEK293FT	-0.224900011737636	0.187775173238546
NUFIP2	HEK293FT	-0.412470849816106	0.190092993595677
PRKRIR	HEK293FT	-0.169042763711085	0.190775651174249
CD3EAP	HEK293FT	-0.15798465629346	0.192333567991532
DDX50	HEK293FT	-0.0760509935870132	0.193289279480829
TMEM14B	HEK293FT	-0.139495688197761	0.193714709450134
APEX1	HEK293FT	-0.143893804157854	0.197534460398824
ZFC3H1	HEK293FT	-0.303393092648367	0.200073472763494
YOD1	HEK293FT	-0.239597361083391	0.200124339751918
IGBP1	HEK293FT	-0.269594125863888	0.200305463437998
SUPT20H	HEK293FT	-0.149164067160203	0.200305463437998
IDH3G	HEK293FT	-0.0957793598800857	0.202603196816692
EXOSC7	HEK293FT	-0.300567993029016	0.203794836395954
HP1BP3	HEK293FT	-0.26545619434155	0.204510067286561
INCENP	HEK293FT	-0.379337045144939	0.204966987017373
PUS7	HEK293FT	-0.0990765699016049	0.204966987017373
ATP5F1	HEK293FT	-0.209696518927655	0.205131748433801
GLT8D1	HEK293FT	-0.0806912360837137	0.205131748433801
GOSR2	HEK293FT	-0.228900275106991	0.205131748433801
NUP155	HEK293FT	-0.204398434956036	0.206224365906486
DDX56	HEK293FT	-0.30765461596248	0.20641088839688
ZBTB44	HEK293FT	-0.148524519629678	0.208259163731174
CAPZB	HEK293FT	-0.308063871061825	0.208491568951152
RAVER2	HEK293FT	-0.106444186654313	0.209766225420288
LSM10	HEK293FT	-0.150155160476259	0.210217651765809
ABT1	HEK293FT	-0.161072057935416	0.210679951124762
KIF18A	HEK293FT	-0.219342690636161	0.211278261183875
MAK16	HEK293FT	-0.393794304412626	0.211912381183776
RFK	HEK293FT	-0.0955870340520941	0.211912381183776
ZBTB9	HEK293FT	-0.110155443698086	0.211912381183776
VHL	HEK293FT	-0.10260792448217	0.212372988365627
MRPL40	HEK293FT	-0.128567691698846	0.21344225169726
EXOSC10	HEK293FT	-0.191183914894369	0.214224267760733
KLF3	HEK293FT	-0.145891770965256	0.214224267760733
SHOC2	HEK293FT	-0.163814858457986	0.214224267760733
UNK	HEK293FT	-0.0997485423943535	0.21458565102035
VPS16	HEK293FT	-0.138414606750674	0.21458565102035
CDCA7	HEK293FT	-0.119316745637284	0.215009171902886
UTP11L	HEK293FT	-0.146080396543636	0.215475777013082
HIST1H4A	HEK293FT	-0.129090380364656	0.217027896658052
POM121C	HEK293FT	-0.103144908555064	0.217027896658052
TRMT5	HEK293FT	-0.191886548082471	0.218673822948286
VPS28	HEK293FT	-0.258356200899083	0.224073305588091
MRPL13	HEK293FT	-0.0942876731726348	0.224087824419663
UBAP2L	HEK293FT	-0.218755673229887	0.225207422304332
INTS10	HEK293FT	-0.177929922732372	0.228104349582111
NDUFB4	HEK293FT	-0.136634562544587	0.228104349582111
C3orf17	HEK293FT	-0.190600641862666	0.228789094845767
C10orf2	HEK293FT	-0.11154638009239	0.230227610927014
CCNL1	HEK293FT	-0.115216652188899	0.230227610927014
EIF1AD	HEK293FT	-0.0914196236839115	0.231373440695986
UBE2D1	HEK293FT	-0.0900473082825642	0.235818227975275
ZNF703	HEK293FT	-0.105907255681372	0.236322993985325
GTF2A2	HEK293FT	-0.138044060664161	0.242203325173128
ZC3H4	HEK293FT	-0.260134183041645	0.243918518484479
ZNF41	HEK293FT	-0.16955919132639	0.243918518484479
NAA35	HEK293FT	-0.181907035623482	0.24443794055089
NAA10	HEK293FT	-0.14597992902273	0.246224772093811
MEF2A	HEK293FT	-0.0660728368527066	0.248237886578912
TMEM199	HEK293FT	-0.0891056882579514	0.252088518036251
TRUB1	HEK293FT	-0.0730566111488841	0.252088518036251
ARID1A	HEK293FT	-0.143238520196217	0.252407297213293
VPS51	HEK293FT	-0.0847169635771454	0.252407297213293
WDR70	HEK293FT	-0.301458466742534	0.252407297213293
POLDIP3	HEK293FT	-0.115803800892872	0.252820348392652
CELF1	HEK293FT	-0.157170619264923	0.253187367744022
STRIP1	HEK293FT	-0.115911980805771	0.253187367744022
HADHB	HEK293FT	-0.0865048506883244	0.254262858430095
PPP4C	HEK293FT	-0.170486057606418	0.254262858430095
AHCTF1	HEK293FT	-0.142315477544568	0.256219734171924
EIF2B2	HEK293FT	-0.219169609438739	0.257863226966369
MCM10	HEK293FT	-0.112503778410159	0.258019815839633
ZBTB43	HEK293FT	-0.112702644860479	0.258565085513987
PAIP2	HEK293FT	-0.119194768978704	0.258765181148471
UTP6	HEK293FT	-0.358418961394465	0.258765181148471
DHX40	HEK293FT	-0.120273421262935	0.260207003123236
ZNF575	HEK293FT	-0.0889147672489685	0.261479543277819
SRCAP	HEK293FT	-0.372947152293914	0.262613963305109
HSPA14	HEK293FT	-0.190769469577523	0.262716422140156
RFT1	HEK293FT	-0.154498311694597	0.263866350522077
MED27	HEK293FT	-0.295682015587509	0.265154204077467
RIOK1	HEK293FT	-0.216028480374087	0.265553043354554
COQ4	HEK293FT	-0.0546894155485053	0.266271916537768
GNL3L	HEK293FT	-0.251552006356851	0.266356357768023
KNTC1	HEK293FT	-0.185502392327912	0.267301769785059
MRPS18B	HEK293FT	-0.185424099683827	0.267957953638249
ZDHHC6	HEK293FT	-0.109386403350409	0.267957953638249
FOXO3	HEK293FT	-0.206410493468019	0.268422832192682
ZC3H11A	HEK293FT	-0.109328763654313	0.268422832192682
ACTR2	HEK293FT	-0.199893652099113	0.269473223238427
ATRIP	HEK293FT	-0.103026612199854	0.270784458279985
UBE2K	HEK293FT	-0.20438586326297	0.270811711865191
RSAD1	HEK293FT	-0.0726612636526653	0.270998301188853
TLN1	HEK293FT	-0.0901259955374372	0.270998301188853
TSPYL1	HEK293FT	-0.148847788847048	0.274782562992436
NBAS	HEK293FT	-0.309524452035007	0.275910803787489
INO80B	HEK293FT	-0.137705102644252	0.27648195283945
ZMYND8	HEK293FT	-0.147868017993558	0.27743481674106
LETM1	HEK293FT	-0.229160072594185	0.28115647977829
XBP1	HEK293FT	-0.206191666046558	0.281443585476704
TIMM17A	HEK293FT	-0.124036847787156	0.282109852764262
HNRNPUL2	HEK293FT	-0.0533804627119039	0.28460820285676
ZNF354B	HEK293FT	-0.0902121934699532	0.28460820285676
GART	HEK293FT	-0.0948098608360532	0.2849724105799
TMA16	HEK293FT	-0.123503890193067	0.285796583229308
EPHB4	HEK293FT	-0.076703115530395	0.28953631268672
LIG1	HEK293FT	-0.0817881576389505	0.29074221364688
VEZT	HEK293FT	-0.0992093337482591	0.29074221364688
UBA5	HEK293FT	-0.140036435640367	0.290954258010885
HK2	HEK293FT	-0.0940610965719107	0.292748731555752
TAF1B	HEK293FT	-0.151238662883082	0.294890622309041
ACO2	HEK293FT	-0.0873614468193136	0.298800142653234
MRPL39	HEK293FT	-0.207414792781704	0.29961940305321
PPM1D	HEK293FT	-0.077613977085034	0.299845343970591
PRDM10	HEK293FT	-0.154572064029439	0.299845343970591
NAA20	HEK293FT	-0.114039163277598	0.300466153118104
CLSTN1	HEK293FT	-0.0835814931952859	0.301088095798653
CPSF4	HEK293FT	-0.309294973606563	0.30174365625153
SERPINB6	HEK293FT	-0.138678004712716	0.303155697932874
RFC1	HEK293FT	-0.160347874498769	0.303195750660911
NAF1	HEK293FT	-0.128100538231596	0.303230953084337
ATP6V1F	HEK293FT	-0.0781221595972168	0.304214873350715
KLF11	HEK293FT	-0.080301052876473	0.305669648114822
STXBP3	HEK293FT	-0.0695294472561626	0.306301001094462
PITHD1	HEK293FT	-0.109090916904354	0.307471189799625
PSIP1	HEK293FT	-0.102791419082534	0.307567157907768
AKAP8	HEK293FT	-0.0552524345255896	0.309035647182405
FAM91A1	HEK293FT	-0.106070707177903	0.309475046773084
JMJD6	HEK293FT	-0.102996593595965	0.309475046773084
IRX6	HEK293FT	-0.0841102829859939	0.310951326516129
C1orf50	HEK293FT	-0.0789732423916123	0.311592208884392
CENPH	HEK293FT	-0.159906743483401	0.313077134729053
FADD	HEK293FT	-0.0710692008198172	0.313721798852651
PSTK	HEK293FT	-0.116640268332199	0.313944346425091
ADD1	HEK293FT	-0.0586767979473984	0.316312173278712
ERCC3	HEK293FT	-0.0922314377222798	0.316312173278712
EXOC8	HEK293FT	-0.0986296954533294	0.316312173278712
NSUN5	HEK293FT	-0.150928866305577	0.316855453853893
DDX60	HEK293FT	-0.15506890709166	0.322077731279755
TRMU	HEK293FT	-0.152022428700243	0.322077731279755
VPS52	HEK293FT	-0.153057900784404	0.323670213340482
DHX38	HEK293FT	-0.176133304147863	0.323689194702559
PTBP3	HEK293FT	-0.066942945137271	0.323689194702559
CDC37	HEK293FT	-0.128020452901485	0.324097579406649
PNISR	HEK293FT	-0.194310479770605	0.325027487601824
ARL5B	HEK293FT	-0.0828931284838418	0.326350645322362
ZNF660	HEK293FT	-0.099208481678323	0.326350645322362
TUT1	HEK293FT	-0.12682675730864	0.330537678702655
TRIM14	HEK293FT	-0.130736041238183	0.331678144148944
SRP14	HEK293FT	-0.160662214946292	0.334376358995368
TIPARP	HEK293FT	-0.110233152531344	0.33513871204671
PFKL	HEK293FT	-0.0916132609397876	0.335714733951427
SEC16A	HEK293FT	-0.123995332264502	0.335714733951427
ADAR	HEK293FT	-0.197664650726689	0.336865639545316
TRUB2	HEK293FT	-0.115176519589204	0.337221731023455
SGPP1	HEK293FT	-0.120902946372174	0.337989195340138
TAF1D	HEK293FT	-0.120764648995876	0.338758028493519
NR2F1	HEK293FT	-0.171910717011599	0.339528232140506
VMP1	HEK293FT	-0.149504400165647	0.343477552012128
TOX	HEK293FT	-0.0919682427441473	0.346009662583883
SUMO1	HEK293FT	-0.247328668298816	0.347634020290221
MXI1	HEK293FT	-0.153031425069811	0.348610854867937
ISG20L2	HEK293FT	-0.202140656175305	0.349826384238294
NCOR2	HEK293FT	-0.0730010042160467	0.349826384238294
AKR7A2	HEK293FT	-0.0762948556100404	0.350244823861616
ZNF133	HEK293FT	-0.0889201443540987	0.350244823861616
CMSS1	HEK293FT	-0.160174758744735	0.350539424078502
ABHD11	HEK293FT	-0.0835058837610053	0.351447415437214
RPF1	HEK293FT	-0.191422875861561	0.351447415437214
PCF11	HEK293FT	-0.185704002239792	0.35231630495319
C1D	HEK293FT	-0.112668205992397	0.353711775371737
AEBP2	HEK293FT	-0.191899312663351	0.356405737560035
HNRNPA0	HEK293FT	-0.177984351365418	0.357126845253705
POMGNT2	HEK293FT	-0.0721827544080505	0.357849237906704
HOXD13	HEK293FT	-0.0909951957729686	0.359521052202706
APC	HEK293FT	-0.153434089620668	0.360794509103787
NKX2-5	HEK293FT	-0.0729343485667976	0.360975488127227
STAU1	HEK293FT	-0.163153175228176	0.361480543202358
ZNF75D	HEK293FT	-0.0723087604791704	0.361480543202358
AGFG1	HEK293FT	-0.158008913599889	0.361965025229945
POC1A	HEK293FT	-0.125414636435053	0.363899916119779
CSTF3	HEK293FT	-0.129690091555332	0.364627842946203
MEF2D	HEK293FT	-0.143163330558399	0.365443540845118
SLC25A28	HEK293FT	-0.116369399928247	0.369979741179236
TAF6	HEK293FT	-0.130713759583683	0.371282230288245
SALL1	HEK293FT	-0.0890808054477515	0.371470675070046
DDX24	HEK293FT	-0.235665837799509	0.372218124284354
TRA2B	HEK293FT	-0.271748123330594	0.373768126494681
MED21	HEK293FT	-0.336356774303221	0.374110639961117
GCFC2	HEK293FT	-0.0694229719081726	0.375452087723087
DDX39A	HEK293FT	-0.146308240090033	0.375975272118816
RBM48	HEK293FT	-0.0774150671264781	0.375975272118816
ERCC4	HEK293FT	-0.104088175762665	0.376499430907224
USF1	HEK293FT	-0.0690842145444125	0.376499430907224
MEMO1	HEK293FT	-0.0637938489247276	0.379237509943543
HSF5	HEK293FT	-0.068673124670873	0.380994514573104
POLR3C	HEK293FT	-0.0947796793324478	0.382758492634219
ZKSCAN5	HEK293FT	-0.0664209919874965	0.383525638163726
LSM14A	HEK293FT	-0.130944418018847	0.385161888580753
EPHX1	HEK293FT	-0.0812571782628757	0.386013073632541
DDX17	HEK293FT	-0.171245745237585	0.387719848852561
DUS2	HEK293FT	-0.146965086349789	0.387719848852561
DIEXF	HEK293FT	-0.230532825415325	0.388338361601026
